1631, 1631, 1631, 1631, 1631, 1631, 1631, 1631, 1631, 1630, 3/31/2015, 7:39:35
1635, 1635, 1635, 1635, 1635, 1635, 1635, 1635, 1635, 1634, 3/31/2015, 7:39:45
1639, 1639, 1639, 1639, 1639, 1639, 1639, 1639, 1639, 1637, 3/31/2015, 7:39:55
1643, 1643, 1643, 1643, 1643, 1643, 1643, 1643, 1643, 1642, 3/31/2015, 7:40:5
1649, 1649, 1649, 1649, 1649, 1649, 1649, 1649, 1649, 1647, 3/31/2015, 7:40:15
1655, 1655, 1655, 1655, 1655, 1655, 1655, 1655, 1655, 1653, 3/31/2015, 7:40:25
1661, 1661, 1661, 1661, 1661, 1661, 1661, 1661, 1661, 1659, 3/31/2015, 7:40:35
1667, 1667, 1667, 1667, 1667, 1667, 1667, 1667, 1667, 1666, 3/31/2015, 7:40:45
1673, 1673, 1673, 1673, 1673, 1673, 1673, 1673, 1673, 1671, 3/31/2015, 7:40:55
1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1677, 3/31/2015, 7:41:5
1683, 1683, 1683, 1683, 1683, 1683, 1683, 1683, 1683, 1681, 3/31/2015, 7:41:15
1686, 1686, 1686, 1686, 1686, 1686, 1686, 1686, 1686, 1684, 3/31/2015, 7:41:25
1746, 1746, 1746, 1746, 1746, 1746, 1746, 1746, 1746, 1746, 3/31/2015, 7:41:35
1878, 1878, 1878, 1878, 1878, 1878, 1878, 1878, 1878, 1878, 3/31/2015, 7:41:45
2136, 2136, 2136, 2136, 2136, 2136, 2136, 2136, 2136, 2136, 3/31/2015, 7:41:55
2529, 2529, 2529, 2529, 2529, 2529, 2529, 2529, 2529, 2529, 3/31/2015, 7:42:5
3024, 3024, 3024, 3024, 3024, 3024, 3024, 3024, 3024, 3024, 3/31/2015, 7:42:15
3585, 3585, 3585, 3585, 3585, 3585, 3585, 3585, 3585, 3585, 3/31/2015, 7:42:25
4184, 4184, 4184, 4184, 4184, 4184, 4184, 4184, 4184, 4184, 3/31/2015, 7:42:35
4797, 4797, 4797, 4797, 4797, 4797, 4797, 4797, 4797, 4797, 3/31/2015, 7:42:45
5415, 5415, 5415, 5415, 5415, 5415, 5415, 5415, 5415, 5415, 3/31/2015, 7:42:55
6014, 6014, 6014, 6014, 6014, 6014, 6014, 6014, 6014, 6014, 3/31/2015, 7:43:5
